Record,Sale_amount,Sale_date,Beds,Baths,Sqft_home,Sqft_lot,Build_year,Town,University
2590,400000,42492,5,3,3704,27007.2,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2591,468000,42528,4,2.5,2686,27007.2,1958,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2592,475000,42506,1,3,2477,26136,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2593,500000,42559,4,4,3153,45302.4,1994,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2594,1567500,42495,5,7,7306,29185.2,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2595,144000,42487,3,3,2462,39639.6,1958,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2596,296500,42529,4,2,2123,37897.2,1952,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2597,250000,42544,3,2.5,1500,20473.2,1940,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2598,560000,42531,5,5,3250,20908.8,1952,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2599,745000,42482,5,5,3308,32234.4,1983,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2600,354000,42447,3,2,2075,44431.2,1981,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2601,567500,42517,3,2,2067,151153.2,1960,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2602,421200,42524,3,2,2109,30492,1961,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2603,1000000,42566,4,3,2874,21344.4,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2604,365000,42538,3,2,1949,12196.8,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2605,407500,42514,3,2,2030,22651.2,1964,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2606,720000,42524,5,5,5731,108900,1976,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2607,190000,42457,3,1,1170,11761.2,1956,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2608,399000,42538,5,4,2998,16552.8,1977,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2609,175500,42542,3,2,1386,3049,1984,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2610,238000,42461,3,2,1793,19602,1961,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2611,385000,42521,4,3,3088,16988.4,1969,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2612,250000,42517,1,2,1888,16552.8,1970,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2613,336000,42465,4,2,2019,20908.8,1960,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2614,242000,42475,3,2.5,1663,5227,1981,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2615,245000,42447,3,2,1300,18730.8,1969,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2616,241000,42558,3,2,1482,16988.4,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2617,932000,42501,5,3,5877,84942,1988,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2618,300000,42523,3,2,1872,20908.8,1964,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2619,232000,42472,3,1.5,1167,13939.2,1965,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2620,1605000,42478,5,8,7652,48351.6,1994,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2621,135000,42500,3,3,1312,871,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2622,154000,42489,2,2.5,1350,1306,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2623,242000,42474,3,3,1562,5227,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2624,205000,42480,3,2,1461,11325.6,1966,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2625,210000,42522,3,2,1364,7405,1994,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2626,645000,42514,4,4,3807,77972.4,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2627,478000,42478,4,4,2705,13068,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2628,307000,42523,3,2.5,1983,93218.4,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2629,262000,42482,3,2,1490,39204,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2630,530000,42535,5,3.5,3850,15681.6,1991,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2631,365000,42499,4,4,2011,13939.2,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2632,359000,42467,4,3,2273,10890,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2633,751000,42507,4,2,2394,408592.8,1947,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2634,235000,42501,3,2,1769,85377.6,1972,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2635,800000,42451,4,2,1958,108900,1968,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2636,800000,42451,5,3,2510,108900,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2637,425000,42471,3,2,2007,435600,1920,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2638,250000,42458,4,3,2507,44431.2,1971,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2639,339000,42531,3,2.5,2340,11761.2,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2640,333000,42507,4,3,1960,10454,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2641,410000,42488,4,3,2793,10890,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2642,321000,42499,4,3,2089,10454,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2643,415000,42453,4,2.5,2700,13939.2,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2644,390000,42506,3,3,2093,40075.2,1978,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2645,320000,42516,4,2,1844,20473.2,1978,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2646,251500,42489,3,3,1885,16552.8,1972,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2647,280000,42496,3,2,1675,16117.2,1965,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2648,537500,42492,5,3,3474,10454,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2649,540000,42516,5,3,3559,9147,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2650,290000,42460,3,2,1700,19602,1970,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2651,555000,42475,3,3,2618,33541.2,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2652,410000,42502,3,4,2622,43560,1984,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2653,318000,42460,3,2,1360,12196.8,1984,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2654,365000,42506,4,3,2258,20037.6,1979,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2655,465000,42513,3,2.5,2720,43560,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2656,393000,42536,3,2,2090,43560,1979,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2657,472000,42534,4,3,2487,40510.8,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2658,525000,42460,4,4,3347,24829.2,1970,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2659,590000,42471,5,5,4200,226076.4,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2660,485000,42461,3,2.5,3031,54014.4,1970,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2661,690000,42502,5,4,4653,47480.4,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2662,569900,42544,3,3,3023,34412.4,1979,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2663,515000,42489,4,3.5,3816,20473.2,1985,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2664,527500,42495,4,3,3109,26571.6,1970,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2665,605000,42549,4,3.5,3651,33541.2,1971,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2666,661000,42531,5,4,4009,21344.4,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2667,700000,42515,5,3,3733,23958,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2668,328000,42536,4,3,2489,14374.8,1976,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2669,415000,42510,4,3,2566,13503.6,1975,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2670,275000,42529,4,2.5,2165,13068,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2671,346000,42538,4,3,2650,13068,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2672,320000,42534,4,2.5,2174,14374.8,1977,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2673,392000,42482,4,2.5,2681,14374.8,1972,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2674,324000,42558,3,1.5,1440,19166.4,1972,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2675,787000,42536,5,4.5,4921,29185.2,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2676,466626,42552,5,5,3657,9245,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2677,950000,42510,5,5,5640,24829.2,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2678,329000,42541,4,2.5,2000,9246,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2679,386000,42515,3,2.5,2666,8712,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2680,362000,42531,3,3,2212,10454,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2681,440000,42531,5,2.5,3164,9148,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2682,515000,42500,4,3,2864,5662,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2683,670000,42468,4,3,4005,87120,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2684,745000,42543,4,3.5,4008,47480.4,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2685,774500,42527,4,3.5,3848,72745.2,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2686,885000,42508,4,4,4471,124146,2002,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2687,830000,42460,5,4.5,4187,10890,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2688,435000,42499,4,3,2183,4791,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2689,475000,42566,3,3,2164,4792,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2690,485000,42536,4,3,2374,6969,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2691,510000,42460,2,3,2800,16552.8,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2692,825000,42538,4,6,4799,8712,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2693,546000,42480,4,3.5,3275,7840,2002,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2694,740000,42494,4,3.5,3200,10360,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2695,792000,42506,5,5,3855,14810.4,2002,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2696,1200000,42508,6,5.5,6132,15246,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2697,445000,42478,4,4,2968,13068,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
