Record,Sale_amount,Sale_date,Beds,Baths,Sqft_home,Sqft_lot,Type,Build_year,Town,University
3239,467500,42538,2,1,931,7492,Single Family,1950,"Claremont, CA",Pomona College
3240,545000,42513,3,2,1554,11325.6,Single Family,1956,"Claremont, CA",Pomona College
3241,460000,42446,2,1,1298,10393,Single Family,1949,"Claremont, CA",Pomona College
3242,435000,42465,3,1,1174,7775,Single Family,1947,"Claremont, CA",Pomona College
3243,475000,42438,3,1,1015,6050,Single Family,1950,"Claremont, CA",Pomona College
3244,549000,42472,3,2,1342,9514,Single Family,1950,"Claremont, CA",Pomona College
3245,375000,42397,4,2,1343,206474.4,Multi Family,1981,"Claremont, CA",Pomona College
3246,425000,42486,3,2,1308,8363,Single Family,1957,"Claremont, CA",Pomona College
3247,400000,42401,2,1,1014,8864,Single Family,1961,"Claremont, CA",Pomona College
3248,510000,42510,4,1.75,1498,8620,Single Family,1961,"Claremont, CA",Pomona College
3249,540000,42466,4,2,1545,9422,Single Family,1962,"Claremont, CA",Pomona College
3250,522000,42437,4,2,1570,7725,Single Family,1957,"Claremont, CA",Pomona College
3251,485000,42522,2,1,912,9452,Single Family,1955,"Claremont, CA",Pomona College
3252,430000,42488,3,1,1288,5869,Single Family,1952,"Claremont, CA",Pomona College
3253,490000,42529,3,1,1064,13068,Single Family,1953,"Claremont, CA",Pomona College
3254,510000,42550,3,2,1745,9966,Single Family,1960,"Claremont, CA",Pomona College
3255,448000,42425,3,2,1177,8407,Single Family,1952,"Claremont, CA",Pomona College
3256,425000,42474,3,2,1236,9831,Single Family,1952,"Claremont, CA",Pomona College
3257,520000,42551,3,2,1541,9147,Single Family,1953,"Claremont, CA",Pomona College
3258,520000,42542,3,2,1494,9994,Single Family,1953,"Claremont, CA",Pomona College
3259,331500,42396,3,1.25,1181,8833,Single Family,1953,"Claremont, CA",Pomona College
3260,405000,42440,3,1.75,1174,8145,Single Family,1953,"Claremont, CA",Pomona College
3261,419000,42452,3,1.5,1150,8137,Single Family,1953,"Claremont, CA",Pomona College
3262,320000,42410,4,2,1418,8437,Single Family,1952,"Claremont, CA",Pomona College
3263,630000,42552,3,1.75,2220,9469,Single Family,1965,"Claremont, CA",Pomona College
3264,600000,42396,3,2,1990,10223,Single Family,1951,"Claremont, CA",Pomona College
3265,628000,42495,3,2,1596,11325.6,Single Family,1968,"Claremont, CA",Pomona College
3266,585000,42396,3,2,1788,18295.2,Single Family,1957,"Claremont, CA",Pomona College
3267,760000,42542,5,3,2627,34848,Single Family,1962,"Claremont, CA",Pomona College
3268,788000,42454,5,2,2444,12632.4,Single Family,1970,"Claremont, CA",Pomona College
3269,763000,42493,3,2,2572,9718,Single Family,1966,"Claremont, CA",Pomona College
3270,950000,42446,3,3,3100,17859.6,Single Family,1967,"Claremont, CA",Pomona College
3271,565000,42488,3,2,2250,13503.6,Single Family,1965,"Claremont, CA",Pomona College
3272,665000,42500,3,2,2285,10890,Single Family,1963,"Claremont, CA",Pomona College
3273,650000,42538,3,2,1824,11761.2,Single Family,1965,"Claremont, CA",Pomona College
3274,699000,42429,4,3,2520,12632.4,Single Family,1966,"Claremont, CA",Pomona College
3275,640000,42513,4,2,2365,10890,Single Family,1968,"Claremont, CA",Pomona College
3276,1053000,42543,4,3,3379,25264.8,Single Family,1963,"Claremont, CA",Pomona College
3277,700000,42436,4,3,2271,20473.2,Single Family,1963,"Claremont, CA",Pomona College
3278,1175000,42444,3,3,2963,14374.8,Single Family,1972,"Claremont, CA",Pomona College
3279,810000,42445,4,3,2539,18730.8,Single Family,1964,"Claremont, CA",Pomona College
3280,1095000,42529,4,3,3876,20473.2,Single Family,1965,"Claremont, CA",Pomona College
3281,1275000,42500,3,3,2688,34412.4,Single Family,1970,"Claremont, CA",Pomona College
3282,1385000,42501,4,3,2996,13939.2,Single Family,1974,"Claremont, CA",Pomona College
3283,125000,42419,5,5,4900,42253.2,Single Family,1989,"Claremont, CA",Pomona College
3284,1550000,42542,4,3,4932,37897.2,Single Family,1985,"Claremont, CA",Pomona College
3285,860000,42494,5,5.75,7712,44431.2,Single Family,2002,"Claremont, CA",Pomona College
3286,2000000,42417,5,7,6694,35283.6,Single Family,1987,"Claremont, CA",Pomona College
3287,753000,42528,4,2,2023,11325.6,Single Family,1987,"Claremont, CA",Pomona College
3288,965000,42444,5,4,4092,17859.6,Single Family,1964,"Claremont, CA",Pomona College
3289,650000,42543,4,3,2118,11761.2,Single Family,1947,"Claremont, CA",Pomona College
3290,820000,42543,4,3,2592,16988.4,Single Family,1976,"Claremont, CA",Pomona College
3291,740000,42509,4,2.5,2644,11325.6,Single Family,1978,"Claremont, CA",Pomona College
3292,715000,42450,4,3,2791,12632.4,Single Family,1976,"Claremont, CA",Pomona College
3293,750000,42472,4,3,2623,10838,Single Family,1976,"Claremont, CA",Pomona College
3294,710000,42493,4,2,2126,10857,Single Family,1977,"Claremont, CA",Pomona College
3295,645000,42437,4,3,2240,10693,Single Family,1977,"Claremont, CA",Pomona College
3296,745000,42535,3,2,2018,14374.8,Single Family,1977,"Claremont, CA",Pomona College
3297,770000,42457,4,3,2338,15246,Single Family,1977,"Claremont, CA",Pomona College
3298,748000,42394,4,3,2248,13503.6,Single Family,1977,"Claremont, CA",Pomona College
3299,655000,42531,4,2,1742,10201,Single Family,1978,"Claremont, CA",Pomona College
3300,665000,42536,5,3,2168,10057,Single Family,1978,"Claremont, CA",Pomona College
3301,765000,42468,5,3,2414,10890,Single Family,1979,"Claremont, CA",Pomona College
3302,672000,42391,3,1.75,1846,12196.8,Single Family,1978,"Claremont, CA",Pomona College
3303,845000,42473,4,3,3033,11761.2,Single Family,1987,"Claremont, CA",Pomona College
3304,1505000,42486,6,7,4343,27442.8,Single Family,2001,"Claremont, CA",Pomona College
3305,1550000,42482,4,4.5,3543,24829.2,Single Family,1938,"Claremont, CA",Pomona College
3306,729000,42390,3,2,2085,16117.2,Single Family,1950,"Claremont, CA",Pomona College
3307,1150000,42500,4,4,3012,27878.4,Single Family,1999,"Claremont, CA",Pomona College
3308,1220000,42445,4,3,3804,43560,Single Family,1988,"Claremont, CA",Pomona College
3309,1100000,42445,5,5,4891,20473.2,Single Family,1988,"Claremont, CA",Pomona College
3310,2280000,42489,5,7,7499,40946.4,Single Family,1990,"Claremont, CA",Pomona College
3311,1680000,42401,3,1,9783,253083.6,Single Family,1907,"Claremont, CA",Pomona College
3312,2600000,42564,6,7,7144,91040.4,Single Family,1995,"Claremont, CA",Pomona College
3313,858000,42468,3,3,3259,11761.2,Single Family,2001,"Claremont, CA",Pomona College
3314,1425000,42397,4,4,3716,27878.4,Single Family,2001,"Claremont, CA",Pomona College
3315,1550000,42480,5,5,4650,43560,Single Family,2004,"Claremont, CA",Pomona College
3316,1775000,42510,4,3.5,4569,24829.2,Single Family,2005,"Claremont, CA",Pomona College
3317,1930000,42549,5,6,5629,28314,Single Family,2006,"Claremont, CA",Pomona College
3318,1600000,42503,5,5,3994,43560,Single Family,2008,"Claremont, CA",Pomona College
3319,595000,42454,4,3,2373,9970,Single Family,2007,"Claremont, CA",Pomona College
3320,3950000,42545,5,8,9740,92347.2,Single Family,2008,"Claremont, CA",Pomona College
3321,400000,42559,3,3,1384,1306,Single Family,2014,"Claremont, CA",Pomona College
3322,159750,42517,3,2,1171,6499,Single Family,1998,"College Station, TX",Texas A&M University
3323,619900,42553,5,5,3530,182080.8,Single Family,1999,"College Station, TX",Texas A&M University
3324,470900,42562,4,3,3200,14810.4,Single Family,2001,"College Station, TX",Texas A&M University
3325,168500,42482,3,2,1424,9121,Single Family,2000,"College Station, TX",Texas A&M University
3326,264000,42489,3,2,1722,67518,Single Family,1976,"College Station, TX",Texas A&M University
3327,190000,42453,3,1,928,7801,Single Family,1956,"College Station, TX",Texas A&M University
3328,183000,42517,3,2,1442,5750,Single Family,1994,"College Station, TX",Texas A&M University
3329,238000,42542,3,2,1835,16552.8,Single Family,1983,"College Station, TX",Texas A&M University
3330,234000,42517,3,3,2176,10890,Single Family,1982,"College Station, TX",Texas A&M University
3331,476000,42436,3,2,1836,10890,Single Family,1979,"College Station, TX",Texas A&M University
3332,177000,42451,3,2.5,2169,12196.8,Single Family,1972,"College Station, TX",Texas A&M University
3333,170000,42509,3,2,1412,13939.2,Single Family,1982,"College Station, TX",Texas A&M University
3334,125600,42468,2,1.5,1024,4704,Single Family,1981,"College Station, TX",Texas A&M University
3335,239900,42489,3,2,1999,12196.8,Single Family,1991,"College Station, TX",Texas A&M University
3336,199000,42448,4,2,1943,8860,Single Family,1991,"College Station, TX",Texas A&M University
3337,425000,42535,5,4,4070,13939.2,Single Family,1993,"College Station, TX",Texas A&M University
3338,246000,42493,3,3,1996,16988.4,Single Family,1994,"College Station, TX",Texas A&M University
3339,250000,42489,4,3,2126,11325.6,Single Family,1996,"College Station, TX",Texas A&M University
3340,217300,42536,4,2,1966,9583,Single Family,1996,"College Station, TX",Texas A&M University
3341,215000,42466,4,2,1914,7801,Single Family,2000,"College Station, TX",Texas A&M University
3342,150000,42395,3,2,1238,5863,Single Family,2002,"College Station, TX",Texas A&M University
3343,284000,42556,4,3,2832,8276,Single Family,2006,"College Station, TX",Texas A&M University
3344,225000,42506,3,2,1922,6900,Single Family,2005,"College Station, TX",Texas A&M University
3345,170000,42439,4,4,1654,3484,Multi Family,2006,"College Station, TX",Texas A&M University
3346,185000,42432,4,2,1793,6011,Single Family,2007,"College Station, TX",Texas A&M University
3347,365000,42556,4,3,2522,15681.6,Single Family,2008,"College Station, TX",Texas A&M University
3348,217000,42448,3,2,1622,7579,Single Family,2008,"College Station, TX",Texas A&M University
3349,550000,42454,4,3,3469,16117.2,Single Family,2008,"College Station, TX",Texas A&M University
3350,214500,42527,3,2,1610,6438,Single Family,2010,"College Station, TX",Texas A&M University
3351,248000,42478,3,2,1808,6446,Single Family,2014,"College Station, TX",Texas A&M University
3352,344900,42489,1,3,2489,14374.8,Single Family,2013,"College Station, TX",Texas A&M University
3353,255900,42530,4,2.5,2343,6325,Single Family,2012,"College Station, TX",Texas A&M University
3354,269000,42538,4,3,2346,12196.8,Single Family,2010,"College Station, TX",Texas A&M University
3355,217000,42489,3,3,1356,6490,Single Family,2012,"College Station, TX",Texas A&M University
3356,289000,42422,4,4,2820,7161,Single Family,2013,"College Station, TX",Texas A&M University
3357,279500,42517,3,3,2076,10018,Single Family,2014,"College Station, TX",Texas A&M University
3358,279900,42468,3,2,2118,11325.6,Single Family,2013,"College Station, TX",Texas A&M University
3359,335000,42503,3,3,1965,103237.2,Single Family,2003,"College Station, TX",Texas A&M University
3360,39000,42486,3,2,1152,6000,Single Family,2010,"College Station, TX",Texas A&M University
3361,150000,42557,4,2,1755,87120,Single Family,1965,"Columbia, MO",University of Missouri
3362,194900,42515,4,2,1996,65340,Single Family,1979,"Columbia, MO",University of Missouri
3363,170000,42473,3,2,1397,219978,Single Family,2001,"Columbia, MO",University of Missouri
3364,83250,42538,3,2,1139,10000,Single Family,1970,"Columbia, MO",University of Missouri
3365,113000,42536,3,2,2131,7835,Single Family,1975,"Columbia, MO",University of Missouri
3366,112000,42500,4,1,1378,196020,Single Family,1900,"Columbia, MO",University of Missouri
3367,129000,42515,3,3,1600,9775,Single Family,1980,"Columbia, MO",University of Missouri
3368,306900,42516,4,3,3918,23958,Single Family,1999,"Columbia, MO",University of Missouri
3369,154900,42563,3,2,1632,10890,Single Family,2000,"Columbia, MO",University of Missouri
3370,190000,42551,3,2,1750,13939.2,Single Family,2000,"Columbia, MO",University of Missouri
3371,125000,42528,3,2,1462,15681.6,Single Family,2002,"Columbia, MO",University of Missouri
3372,126000,42544,3,2,1235,11761.2,Single Family,2002,"Columbia, MO",University of Missouri
3373,143400,42536,3,2,1601,26136,Single Family,2001,"Columbia, MO",University of Missouri
3374,180000,42481,3,2,1920,14810.4,Single Family,1999,"Columbia, MO",University of Missouri
3375,158900,42559,3,3,1765,12632.4,Single Family,2002,"Columbia, MO",University of Missouri
3376,135000,42516,3,2,1550,9376,Single Family,1994,"Columbia, MO",University of Missouri
3377,212600,42559,4,3,2892,12196.8,Single Family,1999,"Columbia, MO",University of Missouri
3378,99000,42509,3,2,1360,31798.8,Single Family,1960,"Columbia, MO",University of Missouri
3379,133900,42489,3,2,1215,7658,Single Family,1993,"Columbia, MO",University of Missouri
3380,140500,42536,4,2,1894,12196.8,Single Family,1956,"Columbia, MO",University of Missouri
3381,110000,42494,2,2,1152,10400,Single Family,1983,"Columbia, MO",University of Missouri
3382,119000,42510,3,2,1268,12196.8,Single Family,1958,"Columbia, MO",University of Missouri
3383,89900,42475,3,1,1048,13068,Single Family,1950,"Columbia, MO",University of Missouri
3384,83500,42517,2,1,824,10719,Single Family,1940,"Columbia, MO",University of Missouri
3385,27500,42517,1,1,600,10454,Single Family,1930,"Columbia, MO",University of Missouri
3386,238500,42507,4,2,1735,10000,Single Family,1920,"Columbia, MO",University of Missouri
3387,455000,42556,4,4.5,5005,50529.6,Single Family,2002,"Columbia, MO",University of Missouri
3388,169900,42536,3,2,1696,10658,Single Family,1996,"Columbia, MO",University of Missouri
3389,222500,42507,3,3,2732,23086.8,Single Family,1988,"Columbia, MO",University of Missouri
3390,252500,42485,5,3,3598,20473.2,Single Family,1994,"Columbia, MO",University of Missouri
3391,147500,42500,3,2.5,2067,11325.6,Single Family,1971,"Columbia, MO",University of Missouri
3392,150100,42516,3,3,2114,14810.4,Single Family,1963,"Columbia, MO",University of Missouri
3393,181000,42471,3,2,1538,13939.2,Single Family,2002,"Columbia, MO",University of Missouri
3394,172900,42536,4,2,1796,43560,Single Family,1955,"Columbia, MO",University of Missouri
3395,150000,42517,3,3,1742,7446,Single Family,1987,"Columbia, MO",University of Missouri
3396,390000,42521,5,3,4249,21344.4,Single Family,2000,"Columbia, MO",University of Missouri
3397,339900,42524,4,3,2605,28314,Single Family,1978,"Columbia, MO",University of Missouri
3398,265000,42530,3,4,3129,23086.8,Single Family,1986,"Columbia, MO",University of Missouri
3399,248000,42496,4,3,2959,7562,Single Family,1988,"Columbia, MO",University of Missouri
3400,193000,42517,4,2,1535,20473.2,Single Family,1977,"Columbia, MO",University of Missouri
3401,174500,42494,3,2.5,1960,7716,Single Family,1991,"Columbia, MO",University of Missouri
3402,97000,42482,2,2,939,2917,Single Family,1920,"Columbia, MO",University of Missouri
3403,137100,42496,3,2,1576,9583,Single Family,1996,"Columbia, MO",University of Missouri
3404,175000,42487,4,3,2917,9600,Single Family,1999,"Columbia, MO",University of Missouri
3405,167900,42517,3,2.5,1982,14810.4,Single Family,2001,"Columbia, MO",University of Missouri
3406,101000,42489,3,2,1332,9396,Single Family,1978,"Columbia, MO",University of Missouri
3407,166500,42565,4,3,2175,13068,Single Family,1965,"Columbia, MO",University of Missouri
3408,142000,42522,2,2,1264,10890,Single Family,1994,"Columbia, MO",University of Missouri
3409,83500,42494,3,1,1050,10890,Single Family,1970,"Columbia, MO",University of Missouri
3410,166200,42545,3,1.5,2086,108464.4,Single Family,1940,"Columbia, MO",University of Missouri
3411,152900,42547,3,2.5,1779,8276,Single Family,2003,"Columbia, MO",University of Missouri
3412,142500,42514,3,2,1502,9147,Single Family,2003,"Columbia, MO",University of Missouri
3413,450000,42530,5,4.5,5283,21344.4,Single Family,2003,"Columbia, MO",University of Missouri
3414,144900,42545,3,2,1604,7903,Single Family,2004,"Columbia, MO",University of Missouri
3415,161900,42515,3,2,1514,16552.8,Single Family,2003,"Columbia, MO",University of Missouri
3416,255000,42538,4,3,2786,8880,Single Family,2005,"Columbia, MO",University of Missouri
3417,200000,42478,3,2,1620,8033,Single Family,2004,"Columbia, MO",University of Missouri
3418,283688,42515,4,3,2700,9964,Single Family,2004,"Columbia, MO",University of Missouri
3419,154000,42522,3,2,1550,9600,Single Family,2002,"Columbia, MO",University of Missouri
3420,162000,42488,3,2,1575,9314,Single Family,2005,"Columbia, MO",University of Missouri
3421,158000,42531,3,2,1600,6463,Single Family,2005,"Columbia, MO",University of Missouri
3422,124000,42521,3,2,1370,16552.8,Single Family,2005,"Columbia, MO",University of Missouri
3423,400000,42523,5,4,3900,10154,Single Family,2005,"Columbia, MO",University of Missouri
3424,150000,42522,3,3,1546,6065,Single Family,2015,"Columbia, MO",University of Missouri
3425,147500,42565,3,3,1604,4594,Single Family,2006,"Columbia, MO",University of Missouri
3426,160000,42522,3,2,1591,9750,Single Family,2005,"Columbia, MO",University of Missouri
3427,149900,42471,3,2,1406,10850,Single Family,2006,"Columbia, MO",University of Missouri
3428,220000,42475,5,3,3060,9600,Single Family,2006,"Columbia, MO",University of Missouri
3429,170300,42545,3,2,1516,6969,Single Family,2008,"Columbia, MO",University of Missouri
3430,371000,42474,4,3,2132,24829.2,Single Family,2014,"Columbia, MO",University of Missouri
3431,198000,42493,3,2,1502,10788,Single Family,2013,"Columbia, MO",University of Missouri
3432,125000,42531,3,2,1190,6500,Single Family,2014,"Columbia, MO",University of Missouri
3433,127500,42527,3,2,1250,6383,Single Family,2010,"Columbia, MO",University of Missouri
3434,567400,42524,3,3.5,2659,40946.4,Single Family,2011,"Columbia, MO",University of Missouri
3435,315000,42489,4,3,2725,9200,Single Family,2012,"Columbia, MO",University of Missouri
3436,195000,42471,3,2,2180,7800,Single Family,2010,"Columbia, MO",University of Missouri
3437,177000,42480,3,2,1705,22651.2,Single Family,2013,"Columbia, MO",University of Missouri
3438,520000,42562,6,4,4004,32234.4,Single Family,2014,"Columbia, MO",University of Missouri
3439,262500,42475,4,3.5,2400,10822,Single Family,2012,"Columbia, MO",University of Missouri
3440,276000,42517,3,2,1915,21780,Single Family,2016,"Columbia, MO",University of Missouri
3441,356000,42481,5,3,3017,21780,Single Family,2014,"Columbia, MO",University of Missouri
3442,397250,42534,4,3,2956,15681.6,Single Family,2014,"Columbia, MO",University of Missouri
3443,295000,42552,3,2,2000,14810.4,Single Family,2016,"Columbia, MO",University of Missouri
3444,296000,42506,4,3,2660,261360,Single Family,1994,"Columbia, MO",University of Missouri
3445,250000,42530,2,1,1452,89298,Single Family,1969,"Corvallis, OR",Oregon State university
3446,358000,42418,6,3,2648,20908.8,Single Family,1978,"Corvallis, OR",Oregon State university
3447,255000,42559,3,1.5,1400,21344.4,Single Family,1963,"Corvallis, OR",Oregon State university
3448,373000,42408,4,2.5,2880,77972.4,Single Family,1966,"Corvallis, OR",Oregon State university
3449,369900,42549,4,2,3036,58806,Single Family,1963,"Corvallis, OR",Oregon State university
3450,498500,42550,4,4,3589,24393.6,Single Family,1963,"Corvallis, OR",Oregon State university
3451,380000,42516,3,3,2287,25700.4,Single Family,1994,"Corvallis, OR",Oregon State university
3452,620000,42499,5,3,5108,101494.8,Single Family,1998,"Corvallis, OR",Oregon State university
3453,305000,42398,3,2,1710,47044.8,Single Family,1969,"Corvallis, OR",Oregon State university
3454,435000,42536,3,2,1748,43560,Single Family,1972,"Corvallis, OR",Oregon State university
3455,370000,42454,5,3,3990,29620.8,Single Family,1964,"Corvallis, OR",Oregon State university
3456,376300,42549,2,2,2129,22651.2,Single Family,1994,"Corvallis, OR",Oregon State university
3457,350000,42563,3,2,1824,59677.2,Single Family,1976,"Corvallis, OR",Oregon State university
3458,350000,42562,4,2,2112,58806,Single Family,1975,"Corvallis, OR",Oregon State university
3459,538000,42527,5,3,2756,57934.8,Single Family,1975,"Corvallis, OR",Oregon State university
3460,415000,42510,6,3,3128,52707.6,Single Family,1967,"Corvallis, OR",Oregon State university
3461,225000,42521,3,1,1178,151588.8,Single Family,1950,"Corvallis, OR",Oregon State university
3462,426000,42501,4,3,2332,138085.2,Single Family,1973,"Corvallis, OR",Oregon State university
3463,490000,42410,4,2,2510,68389.2,Single Family,1973,"Corvallis, OR",Oregon State university
3464,368000,42431,4,3,2100,17424,Single Family,1968,"Corvallis, OR",Oregon State university
3465,400000,42559,3,3,2362,11325.6,Single Family,1971,"Corvallis, OR",Oregon State university
3466,320000,42527,3,2,1492,8712,Single Family,1975,"Corvallis, OR",Oregon State university
3467,277000,42503,3,2,1443,10018,Single Family,1971,"Corvallis, OR",Oregon State university
3468,285100,42404,3,2,1810,8276,Single Family,1972,"Corvallis, OR",Oregon State university
3469,210000,42521,3,1,1004,10019,Single Family,1970,"Corvallis, OR",Oregon State university
3470,281000,42478,3,2,1624,8712,Single Family,1974,"Corvallis, OR",Oregon State university
3471,245000,42419,3,2,1327,9147,Single Family,1973,"Corvallis, OR",Oregon State university
3472,264600,42550,3,2,1236,8276,Single Family,1974,"Corvallis, OR",Oregon State university
3473,284900,42440,3,3,2008,10454,Single Family,1967,"Corvallis, OR",Oregon State university
3474,227000,42446,3,1,980,11325.6,Single Family,1969,"Corvallis, OR",Oregon State university
3475,221000,42534,2,1,936,10454,Single Family,1969,"Corvallis, OR",Oregon State university
3476,229900,42543,3,2,1146,12196.8,Single Family,1964,"Corvallis, OR",Oregon State university
3477,229100,42395,3,1,1035,10019,Single Family,1967,"Corvallis, OR",Oregon State university
3478,2571500,42541,3,3,2210,58370.4,Multi Family,2016,"Corvallis, OR",Oregon State university
3479,325000,42563,3,2,1888,14810.4,Single Family,1977,"Corvallis, OR",Oregon State university
3480,313000,42495,4,2,2289,45302.4,Single Family,1946,"Corvallis, OR",Oregon State university
3481,200000,42426,3,2,1613,17424,Single Family,1968,"Corvallis, OR",Oregon State university
3482,130000,42426,4,2,1252,16117.2,Single Family,1966,"Corvallis, OR",Oregon State university
3483,360000,42486,4,3,2668,8712,Single Family,1963,"Corvallis, OR",Oregon State university
3484,211500,42459,3,2,1281,8712,Single Family,1965,"Corvallis, OR",Oregon State university
3485,340000,42426,6,3,2748,6970,Multi Family,1990,"Corvallis, OR",Oregon State university
3486,170000,42522,4,2,1555,13503.6,Single Family,1948,"Corvallis, OR",Oregon State university
3487,250000,42426,3,1.5,1281,9583,Single Family,1960,"Corvallis, OR",Oregon State university
3488,324000,42509,3,2,1515,9148,Single Family,1960,"Corvallis, OR",Oregon State university
3489,280000,42545,3,1.5,1629,9147,Single Family,1966,"Corvallis, OR",Oregon State university
3490,271000,42423,3,2,1412,9583,Single Family,1965,"Corvallis, OR",Oregon State university
3491,265000,42475,3,2,1502,9147,Single Family,1964,"Corvallis, OR",Oregon State university
3492,287020,42545,3,2,1138,8276,Single Family,1975,"Corvallis, OR",Oregon State university
3493,300000,42531,3,2,1786,8276,Single Family,1974,"Corvallis, OR",Oregon State university
3494,204500,42452,3,1,1258,11761.2,Single Family,1976,"Corvallis, OR",Oregon State university
3495,225500,42487,3,1,1008,8712,Single Family,1969,"Corvallis, OR",Oregon State university
3496,258265,42453,3,2,1346,9583,Single Family,1964,"Corvallis, OR",Oregon State university
3497,205000,42447,3,1,1030,10018,Single Family,1958,"Corvallis, OR",Oregon State university
3498,240000,42429,2,1,968,15246,Single Family,1957,"Corvallis, OR",Oregon State university
3499,381000,42493,4,2,2178,10454,Single Family,1962,"Corvallis, OR",Oregon State university
3500,353200,42478,3,1.5,1696,8712,Single Family,1960,"Corvallis, OR",Oregon State university
3501,291325,42496,3,2,1526,11761.2,Single Family,1964,"Corvallis, OR",Oregon State university
3502,165000,42450,3,2,1724,10890,Single Family,1967,"Corvallis, OR",Oregon State university
3503,265000,42545,3,1,1220,10018,Single Family,1958,"Corvallis, OR",Oregon State university
3504,276000,42531,3,2,1563,11325.6,Single Family,1963,"Corvallis, OR",Oregon State university
3505,331500,42403,4,2,1704,10454,Single Family,1966,"Corvallis, OR",Oregon State university
3506,245000,42438,3,1,1176,10018,Single Family,1967,"Corvallis, OR",Oregon State university
3507,244900,42444,3,1.5,1173,8276,Single Family,1966,"Corvallis, OR",Oregon State university
3508,216500,42536,3,1,1035,7840,Single Family,1967,"Corvallis, OR",Oregon State university
3509,238000,42460,3,2,1125,8712,Single Family,1961,"Corvallis, OR",Oregon State university
3510,280300,42551,3,1.5,1518,9147,Single Family,1959,"Corvallis, OR",Oregon State university
3511,280000,42488,4,2,2142,9148,Multi Family,1951,"Corvallis, OR",Oregon State university
3512,250000,42496,3,1,1363,8276,Single Family,1955,"Corvallis, OR",Oregon State university
3513,357100,42446,3,2,2008,10018,Single Family,1956,"Corvallis, OR",Oregon State university
3514,250000,42548,2,1,900,7405,Single Family,1952,"Corvallis, OR",Oregon State university
3515,206700,42447,3,1,888,7841,Single Family,1954,"Corvallis, OR",Oregon State university
3516,259000,42551,3,2,1224,6534,Single Family,1955,"Corvallis, OR",Oregon State university
3517,259900,42527,3,1,1121,8712,Single Family,1954,"Corvallis, OR",Oregon State university
3518,343000,42468,5,3,1800,8276,Single Family,1964,"Corvallis, OR",Oregon State university
3519,321000,42418,4,2.5,2106,8276,Single Family,1958,"Corvallis, OR",Oregon State university
3520,220000,42465,2,1,790,5227,Single Family,1946,"Corvallis, OR",Oregon State university
3521,275000,42538,4,2,1740,5227,Single Family,1957,"Corvallis, OR",Oregon State university
3522,266000,42517,3,1,1058,8276,Single Family,1963,"Corvallis, OR",Oregon State university
3523,287700,42551,2,2,1268,10890,Single Family,1965,"Corvallis, OR",Oregon State university
3524,489950,42517,4,3,2554,15681.6,Single Family,1966,"Corvallis, OR",Oregon State university
3525,400000,42451,4,2,3349,15681.6,Single Family,1968,"Corvallis, OR",Oregon State university
3526,390000,42509,3,2,1935,10890,Single Family,1963,"Corvallis, OR",Oregon State university
3527,450000,42538,5,3,3066,10890,Single Family,1964,"Corvallis, OR",Oregon State university
3528,405000,42440,3,2.5,3147,10890,Single Family,1964,"Corvallis, OR",Oregon State university
3529,408000,42545,4,3,2580,11325.6,Single Family,1958,"Corvallis, OR",Oregon State university
3530,350000,42472,4,2,2259,10890,Single Family,1964,"Corvallis, OR",Oregon State university
3531,230000,42482,3,2,1827,9147,Single Family,1965,"Corvallis, OR",Oregon State university
3532,400000,42514,4,3.5,2934,10018,Single Family,1968,"Corvallis, OR",Oregon State university
3533,353000,42416,4,3.5,2852,8712,Single Family,1965,"Corvallis, OR",Oregon State university
3534,361000,42534,3,2,1789,7840,Single Family,1995,"Corvallis, OR",Oregon State university
3535,316545,42391,3,2.5,1670,8276,Single Family,1967,"Corvallis, OR",Oregon State university
3536,300000,42502,3,3,1704,10019,Single Family,1970,"Corvallis, OR",Oregon State university
3537,403000,42548,5,3,3096,13939.2,Single Family,1959,"Corvallis, OR",Oregon State university
3538,273000,42522,4,2,1680,7840,Single Family,1968,"Corvallis, OR",Oregon State university
3539,284000,42439,3,2,1520,8276,Single Family,1959,"Corvallis, OR",Oregon State university
3540,423100,42517,3,3,2332,13939.2,Single Family,1971,"Corvallis, OR",Oregon State university
3541,350000,42429,4,3,2428,11325.6,Single Family,1969,"Corvallis, OR",Oregon State university
3542,305000,42480,3,3,2488,12196.8,Single Family,1967,"Corvallis, OR",Oregon State university
3543,454000,42509,2,2,2286,14810.4,Single Family,1976,"Corvallis, OR",Oregon State university
3544,375000,42409,3,2,2145,21780,Single Family,1956,"Corvallis, OR",Oregon State university
3545,210000,42489,3,2,1520,7840,Single Family,1967,"Corvallis, OR",Oregon State university
3546,210000,42489,3,1,924,6098,Single Family,1924,"Corvallis, OR",Oregon State university
3547,200000,42521,2,1,744,8276,Single Family,1946,"Corvallis, OR",Oregon State university
3548,298350,42478,6,3,2176,5227,Multi Family,1969,"Corvallis, OR",Oregon State university
3549,279900,42390,3,2,1888,10018,Single Family,1951,"Corvallis, OR",Oregon State university
3550,269000,42506,3,2,1553,8712,Single Family,1959,"Corvallis, OR",Oregon State university
3551,262752,42493,2,2,1268,5662,Single Family,1958,"Corvallis, OR",Oregon State university
3552,445000,42541,1,0.5,3824,6543,Single Family,1964,"Corvallis, OR",Oregon State university
3553,215000,42475,2,1,884,4356,Single Family,1946,"Corvallis, OR",Oregon State university
3554,145000,42426,2,1,730,4356,Single Family,1922,"Corvallis, OR",Oregon State university
